param_iter	simnum	simcount	seed	d	e	j	brate	drate	b_exp	d_exp	m1	m2	t12	t21	nsp_sim	tree_ht_sim	tree_len_sim	nsp_obs	tree_ht_obs	tree_len_obs	time_spent_in_trait1	time_spent_in_trait2	total_time	pct_spent_in_trait1	pct_spent_in_trait2	sim_t12	sim_t21	sim_d_t1	sim_d_t2	sim_e_t1	sim_e_t2	sim_a_t1	sim_a_t2	obs_t12	obs_t21	obs_d_t1	obs_d_t2	obs_e_t1	obs_e_t2	obs_a_t1	obs_a_t2	sim_j_t1	sim_j_t2	sim_y_t1	sim_y_t2	sim_s_t1	sim_s_t2	sim_v_t1	sim_v_t2	obs_j_t1	obs_j_t2	obs_y_t1	obs_y_t2	obs_s_t1	obs_s_t2	obs_v_t1	obs_v_t2
1	24	24	592230809	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	51.914359325182	952.424786670785	50	51.914359325182	952.424786670785	367.498738150798	584.926048519987	952.424786670785	38.6	61.4	1	1	15	10	0	0	0	0	1	1	15	10	0	0	0	0	5	6	9	19	5	0	2	3	5	6	9	19	5	0	2	3
1	25	25	592230810	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	75.1994751840276	1176.70148256866	50	75.1994751840276	1176.70148256866	354.425144152807	822.276338415855	1176.70148256866	30.1	69.9	4	8	11	8	0	0	0	0	4	8	11	8	0	0	0	0	1	8	4	28	3	3	2	0	1	8	4	28	3	3	2	0
1	26	26	592230811	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	53.461539438842	809.079403470209	50	53.461539438842	809.079403470209	190.804423009958	618.274980460251	809.079403470209	23.6	76.4	1	6	4	11	0	0	0	0	1	6	4	11	0	0	0	0	1	10	3	25	1	5	0	4	1	10	3	25	1	5	0	4
1	27	27	592230812	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	57.7386330860614	927.015876472287	50	57.7386330860614	927.015876472287	177.286451322658	749.729425149629	927.015876472287	19.1	80.9	1	9	3	10	0	0	0	0	1	9	3	10	0	0	0	0	1	7	2	33	0	3	0	3	1	7	2	33	0	3	0	3
1	28	28	592230813	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	107.872514727952	1025.56213210814	50	107.872514727952	1025.56213210814	468.851058103444	556.711074004698	1025.56213210814	45.7	54.3	2	10	13	8	0	0	0	0	2	10	13	8	0	0	0	0	4	6	8	19	4	4	2	2	4	6	8	19	4	4	2	2
1	29	29	592230814	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	67.6527221188604	913.577493977916	50	67.6527221188604	913.577493977916	107.338110744417	806.239383233499	913.577493977916	11.7	88.3	1	7	0	8	0	0	0	0	1	7	0	8	0	0	0	0	1	8	1	37	0	2	0	0	1	8	1	37	0	2	0	0
1	30	30	592230815	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	63.0876031467271	953.248310615201	50	63.0876031467271	953.248310615201	253.560674752321	699.68763586288	953.248310615201	26.6	73.4	1	5	7	18	0	0	0	0	1	5	7	18	0	0	0	0	2	9	4	21	2	6	0	5	2	9	4	21	2	6	0	5
1	31	31	592230816	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	71.0202026595278	1144.3161469139	50	71.0202026595278	1144.3161469139	540.608829965097	603.707316948799	1144.3161469139	47.2	52.8	0	13	14	15	0	0	0	0	0	13	14	15	0	0	0	0	5	12	4	18	2	3	4	1	5	12	4	18	2	3	4	1
1	32	32	592230817	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	107.072206289203	1202.80227157514	50	107.072206289203	1202.80227157514	324.297692213034	878.504579362107	1202.80227157514	27	73	3	6	12	13	0	0	0	0	3	6	12	13	0	0	0	0	2	7	9	21	2	4	2	2	2	7	9	21	2	4	2	2
1	33	33	592230818	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	74.1241496751055	1140.82202774852	50	74.1241496751055	1140.82202774852	656.970122164819	483.851905583705	1140.82202774852	57.6	42.4	2	3	23	13	0	0	0	0	2	3	23	13	0	0	0	0	10	2	5	8	11	3	6	4	10	2	5	8	11	3	6	4
1	34	34	592230819	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	68.1322111591319	1125.5432153664	50	68.1322111591319	1125.5432153664	585.481699326471	540.06151603993	1125.5432153664	52	48	6	5	11	9	0	0	0	0	6	5	11	9	0	0	0	0	9	6	14	13	2	2	2	1	9	6	14	13	2	2	2	1
1	35	35	592230820	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	70.1919129079796	960.717591821092	50	70.1919129079796	960.717591821092	830.451452774746	130.266139046346	960.717591821092	86.4	13.6	4	2	35	2	0	0	0	0	4	2	35	2	0	0	0	0	9	3	16	1	8	1	11	0	9	3	16	1	8	1	11	0
1	36	36	592230821	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	70.3217399006077	1062.53034869854	50	70.3217399006077	1062.53034869854	820.187580836325	242.34276786222	1062.53034869854	77.2	22.8	9	6	27	3	0	0	0	0	9	6	27	3	0	0	0	0	13	0	13	9	8	0	6	0	13	0	13	9	8	0	6	0
1	37	37	592230822	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	60.0161343992082	935.703629016318	50	60.0161343992082	935.703629016318	205.92578310953	729.777845906789	935.703629016318	22	78	0	6	7	12	0	0	0	0	0	6	7	12	0	0	0	0	2	5	3	20	2	10	2	5	2	5	3	20	2	10	2	5
1	38	38	592230823	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	55.0903687389867	1077.16854567303	50	55.0903687389867	1077.16854567303	650.644042515244	426.524503157787	1077.16854567303	60.4	39.6	2	4	21	12	0	0	0	0	2	4	21	12	0	0	0	0	7	6	12	10	3	5	5	1	7	6	12	10	3	5	5	1
1	39	39	592230824	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	88.2884264894331	943.957155252309	50	88.2884264894331	943.957155252309	190.673344992274	753.283810260035	943.957155252309	20.2	79.8	2	8	4	14	0	0	0	0	2	8	4	14	0	0	0	0	5	5	3	22	1	7	1	5	5	5	3	22	1	7	1	5
1	40	40	592230825	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	73.146699315808	1068.22688609349	50	73.146699315808	1068.22688609349	482.001277283018	586.225608810471	1068.22688609349	45.1	54.9	2	7	16	7	0	0	0	0	2	7	16	7	0	0	0	0	6	5	11	18	1	2	4	2	6	5	11	18	1	2	4	2
1	41	41	592230826	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	53.2081001339413	1103.21951124423	50	53.2081001339413	1103.21951124423	420.96565508359	682.253856160641	1103.21951124423	38.2	61.8	0	10	9	16	0	0	0	0	0	10	9	16	0	0	0	0	2	9	2	22	4	7	1	2	2	9	2	22	4	7	1	2
1	42	42	592230827	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	70.3884942262668	962.443680035797	50	70.3884942262668	962.443680035797	167.436697208648	795.006982827149	962.443680035797	17.4	82.6	1	8	2	11	0	0	0	0	1	8	2	11	0	0	0	0	1	7	2	33	0	1	1	4	1	7	2	33	0	1	1	4
1	43	43	592230828	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	47.6588588050027	870.587309635539	50	47.6588588050027	870.587309635539	246.485222897722	624.102086737816	870.587309635538	28.3	71.7	1	4	7	4	0	0	0	0	1	4	7	4	0	0	0	0	3	11	9	21	1	4	0	0	3	11	9	21	1	4	0	0
